item,itemname,ENERGY,PROTEIN,feedClassification
841,Com Feed Pou,14.8,9.4,Forage
842,Com Feed Pig,14.8,9.4,Forage
845,Com Feed Oth,14.8,9.4,Forage
846,Glut Feed&Me,17.7,67,Forage
850,Feed Sup,14.8,9.4,Forage
852,Concentr nes,14.8,9.4,Forage
862,Alfalfa Meal,13.6,18.3,Forage
882,Cow Milk,12.2,12.5,Potential Feed
887,"Ghee, Cows",12.2,12.5,Potential Feed
888,Sk Milk Cows,12.2,12.5,Potential Feed
890,"Whey,Condens",12.2,12.5,Potential Feed
893,"Butterm,Curd",12.2,12.5,Potential Feed
894,"Wh Milk,Evap",12.2,12.5,Potential Feed
896,Sk Milk Cond,12.2,12.5,Potential Feed
897,Cowmilk Dry,12.2,12.5,Potential Feed
898,Milk Sk Dr C,12.2,12.5,Potential Feed
899,Dry Buttermk,12.2,12.5,Potential Feed
900,Dry Whey,12.2,12.5,Potential Feed
903,"Whey, Fresh",12.2,12.5,Potential Feed
909,Prod.Of Nat.,12.2,12.5,Potential Feed
951,Buffalo Milk,12.2,12.5,Potential Feed
954,Milk Sk Buff,12.2,12.5,Potential Feed
982,Sheep Milk,12.2,12.5,Potential Feed
985,Sk Milk Shee,12.2,12.5,Potential Feed
1020,Goat Milk,12.2,12.5,Potential Feed
1036,Offals Pigs,12.2,12.5,Potential Feed
1037,Fat Pigs,12.2,12.5,Potential Feed
1040,Pig But Fat,12.2,12.5,Potential Feed
1062,Hen Eggs,12.2,12.5,Potential Feed
1091,Eggs Poultry,12.2,12.5,Potential Feed
1115,Suckmilk Equ,12.2,12.5,Potential Feed
1130,Camel Milk,12.2,12.5,Potential Feed
1168,Oils Animal,12.2,12.5,Potential Feed
1173,Meat Meal,12.2,12.5,Potential Feed
1174,Fish Meal,15,48.3,Potential Feed
1223,Oils Fish,10,54.9,Potential Feed
